OT_WBAN,OT__c0,OT_Time,OT_StationType,OT_SkyCondition,OT_Visibility,OT_WeatherType,OT_DryBulbFarenheit,OT_DryBulbCelsius,OT_WetBulbFarenheit,OT_WetBulbCelsius,OT_DewPointFarenheit,OT_DewPointCelsius,OT_RelativeHumidity,OT_WindSpeed,OT_WindDirection,OT_ValueForWindCharacter,OT_StationPressure,OT_PressureTendency,OT_PressureChange,OT_SeaLevelPressure,OT_RecordType,OT_HourlyPrecip,OT_Altimeter,OT_Year,OT_Date,OT_WEATHER_TIMESTAMP,OT_ORIGIN_AIRPORT_ID,OT_TimeZone
12907,1193649,1756,0.0,CLR,10.0,"",81.0,27.2,68.0,19.8,60.0,15.5,49.0,6.0,90.0,,29.26,3.0,13.0,29.78,AA,,29.81,2012,2012-01-22,2012-01-22T17:56:00.000+01:00,13061,-6
12916,1199134,0526,11.0,M,0.12,"",,,,,,,,5.0,160.0,,,,,,SP,,,2012,2012-01-22,2012-01-22T05:26:00.000+01:00,13495,-6
12916,1199155,1753,11.0,FEW010 BKN020 OVC065,10.0,"",73.0,22.8,70.0,21.3,69.0,20.6,87.0,14.0,170.0,23.0,29.93,3.0,5.0,29.95,AA,,29.95,2012,2012-01-22,2012-01-22T17:53:00.000+01:00,13495,-6
12921,1203350,0922,11.0,OVC002,8.999302776819592,"",57.0,14.0,57.0,13.8,57.0,14.0,100.0,3.0,150.0,,28.96,,,,SP,,29.82,2012,2012-01-22,2012-01-22T09:22:00.000+01:00,14683,-6
12960,1220571,2053,11.0,FEW019 SCT250,10.0,"",72.0,22.2,68.0,19.7,65.0,18.3,79.0,7.0,210.0,,29.75,3.0,21.0,29.85,AA,,29.86,2012,2012-01-22,2012-01-22T20:53:00.000+01:00,12266,-6
12960,1220574,2200,11.0,SCT013,9.0,"",72.0,22.0,68.0,20.0,66.0,19.0,82.0,8.0,210.0,,29.77,,,,SP,,29.88,2012,2012-01-22,2012-01-22T22:00:00.000+01:00,12266,-6
13717,1282996,0455,0.0,OVC005,10.0,"",48.0,9.0,47.0,8.0,45.0,7.0,89.0,9.0,40.0,,30.1,,,,AA,,30.13,2012,2012-01-22,2012-01-22T04:55:00.000+01:00,13577,-5
13743,1297933,0052,11.0,OVC025,10.0,"",32.0,0.0,29.0,-1.5,24.0,-4.4,72.0,11.0,360.0,,30.26,1.0,19.0,30.32,AA,,30.33,2012,2012-01-22,2012-01-22T00:52:00.000+01:00,11278,-5
13839,1336747,0445,12.0,FEW008,4.0,BR,63.0,17.0,63.0,17.2,63.0,17.0,100.0,7.0,190.0,,29.68,,,,SP,,30.06,2012,2012-01-22,2012-01-22T04:45:00.000+01:00,11308,-6
13839,1336762,0751,12.0,FEW001 OVC008,2.0,BR,64.0,18.0,64.0,17.7,64.0,18.0,100.0,3.0,220.0,,29.73,,,,SP,,30.11,2012,2012-01-22,2012-01-22T07:51:00.000+01:00,11308,-6
13839,1336775,1153,12.0,BKN008 OVC013,10.0,"",69.0,20.6,67.0,19.5,66.0,18.9,90.0,6.0,110.0,,29.73,8.0,9.0,30.09,AA,,30.11,2012,2012-01-22,2012-01-22T11:53:00.000+01:00,11308,-6
13839,1336787,1653,12.0,SCT027,10.0,"",70.0,21.1,65.0,18.3,62.0,16.7,76.0,8.0,130.0,,29.72,,,30.08,AA,,30.1,2012,2012-01-22,2012-01-22T16:53:00.000+01:00,11308,-6
13865,1352102,0758,11.0,VV001,0.25,FG,53.0,11.7,53.0,11.6,53.0,11.7,100.0,0.0,0.0,,29.67,,,29.99,AA,,30.0,2012,2012-01-22,2012-01-22T07:58:00.000+01:00,13241,-6
13881,1365178,0452,11.0,SCT013 OVC043,10.0,"",39.0,3.9,37.0,2.7,34.0,1.1,82.0,8.0,50.0,,29.39,,,30.22,AA,,30.22,2012,2012-01-22,2012-01-22T04:52:00.000+01:00,11057,-5
13889,1370173,0756,11.0,VV002,0.25,FG,60.0,15.6,59.0,15.2,59.0,15.0,97.0,0.0,0.0,,30.09,,,30.12,AA,,30.12,2012,2012-01-22,2012-01-22T07:56:00.000+01:00,12451,-5
13894,1373186,0523,11.0,VV001,0.25,FG,66.0,19.0,65.0,18.2,64.0,18.0,93.0,5.0,130.0,,29.77,,,,SP,,30.01,2012,2012-01-22,2012-01-22T05:23:00.000+01:00,13422,-6
13894,1373222,1956,11.0,BKN007 OVC024,6.0,BR,69.0,20.6,67.0,19.5,66.0,18.9,90.0,13.0,140.0,,29.78,,,30.01,AA,,30.02,2012,2012-01-22,2012-01-22T19:56:00.000+01:00,13422,-6
13895,1374190,1016,11.0,OVC002,2.5,BR,61.0,16.0,61.0,16.1,61.0,16.0,100.0,10.0,90.0,,29.87,,,,SP,,30.09,2012,2012-01-22,2012-01-22T10:16:00.000+01:00,13277,-6
13897,1376202,0146,11.0,OVC003,2.5,BR,37.0,3.0,37.0,2.5,36.0,2.0,96.0,0.0,0.0,,29.43,,,,SP,,30.08,2012,2012-01-22,2012-01-22T01:46:00.000+01:00,10693,-6
13899,1377221,0253,12.0,OVC004,3.0,BR,69.0,20.6,68.0,19.8,67.0,19.4,93.0,0.0,0.0,,29.88,0.0,3.0,30.02,AA,,30.01,2012,2012-01-22,2012-01-22T02:53:00.000+01:00,14193,-6
13942,1397119,1222,12.0,SCT009 BKN015,10.0,"",70.0,21.0,66.0,18.6,63.0,17.0,79.0,13.0,170.0,18.0,29.74,,,,SP,,29.83,2012,2012-01-22,2012-01-22T12:22:00.000+01:00,13377,-6
13959,1402972,0422,11.0,OVC008,4.0,HZ,52.0,11.0,49.0,9.4,46.0,8.0,80.0,9.0,180.0,,29.26,,,,SP,,29.8,2012,2012-01-22,2012-01-22T04:22:00.000+01:00,10155,-6
13960,1403931,0701,12.0,BKN009 BKN017 OVC023,5.0,BR,54.0,12.0,52.0,11.0,50.0,10.0,86.0,15.0,170.0,,29.2,,,,SP,,29.72,2012,2012-01-22,2012-01-22T07:01:00.000+01:00,11259,-6
13963,1406583,1716,12.0,SCT020 BKN047 OVC090,5.0,BR,63.0,17.0,62.0,16.5,61.0,16.0,93.0,8.0,140.0,,29.34,,,,SP,,29.61,2012,2012-01-22,2012-01-22T17:16:00.000+01:00,12992,-6
13976,1416278,1753,12.0,OVC009,10.0,"",72.0,22.2,70.0,21.1,69.0,20.6,90.0,14.0,180.0,21.0,29.83,7.0,4.0,29.88,AA,,29.88,2012,2012-01-22,2012-01-22T17:53:00.000+01:00,12951,-6
13988,1423151,1154,12.0,OVC021,7.0,"",49.0,9.4,45.0,7.3,41.0,5.0,74.0,8.0,170.0,,28.69,8.0,21.0,29.49,AA,,29.48,2012,2012-01-22,2012-01-22T11:54:00.000+01:00,13341,-6
14734,1458128,2251,11.0,BKN034 BKN041 OVC047,10.0,"",36.0,2.2,33.0,0.5,28.0,-2.2,73.0,7.0,60.0,,30.43,,,30.45,AA,,30.46,2012,2012-01-22,2012-01-22T22:51:00.000+01:00,11618,-5
14748,1467277,0753,12.0,CLR,10.0,"",1.0,-17.2,0.0,-17.6,-4.0,-20.0,79.0,0.0,0.0,,29.37,,,30.46,AA,,30.4,2012,2012-01-22,2012-01-22T07:53:00.000+01:00,11537,-5
14764,1476291,0751,11.0,CLR,10.0,"",1.0,-17.2,0.0,-17.5,-3.0,-19.4,83.0,0.0,0.0,,30.5,,,30.58,AA,,30.57,2012,2012-01-22,2012-01-22T07:51:00.000+01:00,14321,-5
14771,1480354,0054,11.0,CLR,10.0,"",10.0,-12.2,9.0,-12.8,5.0,-15.0,80.0,0.0,0.0,,29.93,2.0,18.0,30.4,AA,,30.38,2012,2012-01-22,2012-01-22T00:54:00.000+01:00,15096,-5
14771,1480366,1254,11.0,OVC200,10.0,"",26.0,-3.3,22.0,-5.5,12.0,-11.1,55.0,10.0,120.0,,29.93,8.0,23.0,30.39,AA,,30.38,2012,2012-01-22,2012-01-22T12:54:00.000+01:00,15096,-5
14826,1501028,0953,11.0,OVC011,10.0,"",24.0,-4.4,22.0,-5.3,19.0,-7.2,81.0,17.0,140.0,,29.3,8.0,10.0,30.16,AA,,30.12,2012,2012-01-22,2012-01-22T09:53:00.000+01:00,11721,-5
14827,1502103,0054,11.0,OVC014,10.0,"",19.0,-7.2,18.0,-7.8,15.0,-9.4,84.0,9.0,110.0,,29.3,8.0,21.0,30.23,AA,,30.19,2012,2012-01-22,2012-01-22T00:54:00.000+01:00,11823,-5
14827,1502114,0813,11.0,OVC006,2.5,BR,27.0,-3.0,26.0,-3.1,25.0,-4.0,92.0,11.0,140.0,,29.2,,,,SP,,30.09,2012,2012-01-22,2012-01-22T08:13:00.000+01:00,11823,-5
14840,1512165,2342,11.0,OVC003,2.5,-RA BR,37.0,3.0,37.0,2.5,36.0,2.0,96.0,10.0,110.0,,28.93,,,,SP,,29.6,2012,2012-01-22,2012-01-22T23:42:00.000+01:00,13344,-5
14842,1514488,0154,11.0,OVC005,4.0,BR,23.0,-5.0,22.0,-5.3,21.0,-6.1,92.0,11.0,150.0,,29.29,,,30.02,AA,,30.0,2012,2012-01-22,2012-01-22T01:54:00.000+01:00,14108,-6
14842,1514500,0601,11.0,VV002,0.5,FZFG,27.0,-3.0,26.0,-3.1,25.0,-4.0,92.0,17.0,160.0,23.0,29.21,,,,SP,,29.92,2012,2012-01-22,2012-01-22T06:01:00.000+01:00,14108,-6
14842,1514502,0724,11.0,OVC002,1.0,BR,27.0,-3.0,27.0,-2.7,27.0,-3.0,100.0,22.0,170.0,29.0,29.18,,,,SP,,29.89,2012,2012-01-22,2012-01-22T07:24:00.000+01:00,14108,-6
14895,1533186,0908,11.0,SCT004 OVC180,4.0,BR,19.0,-7.0,18.0,-7.7,16.0,-9.0,88.0,8.0,130.0,,28.87,,,,SP,,30.19,2012,2012-01-22,2012-01-22T09:08:00.000+01:00,10874,-5
14898,1535181,0853,11.0,OVC010,4.0,BR,30.0,-1.1,29.0,-1.9,26.0,-3.3,85.0,21.0,150.0,,29.11,6.0,27.0,29.89,AA,,29.86,2012,2012-01-22,2012-01-22T08:53:00.000+01:00,11977,-6
14913,1539513,2053,11.0,OVC002,0.75,BR,21.0,-6.0,20.0,-6.4,19.0,-7.0,92.0,0.0,0.0,,28.09,,,,SP,,29.58,2012,2012-01-22,2012-01-22T20:53:00.000+01:00,11337,-6
14925,1548492,0537,11.0,OVC009,4.0,BR,19.0,-7.0,18.0,-7.7,16.0,-9.0,88.0,26.0,170.0,37.0,28.25,,,,SP,,29.64,2012,2012-01-22,2012-01-22T05:37:00.000+01:00,14633,-6
14929,1551530,0716,11.0,SCT012 OVC070,6.0,UP BR,23.0,-5.0,22.0,-5.7,19.0,-7.0,85.0,7.0,150.0,,28.06,,,,SP,,29.42,2012,2012-01-22,2012-01-22T07:16:00.000+01:00,10141,-6
14929,1551531,0750,11.0,BKN012 BKN042 OVC070,6.0,BR,23.0,-5.0,22.0,-5.7,19.0,-7.0,85.0,7.0,160.0,,28.08,,,,SP,,29.44,2012,2012-01-22,2012-01-22T07:50:00.000+01:00,10141,-6
14935,1556531,1253,11.0,BKN100,10.0,"",39.0,3.9,32.0,0.1,21.0,-6.1,48.0,16.0,320.0,,27.47,,,29.45,AA,,29.4,2012,2012-01-22,2012-01-22T12:53:00.000+01:00,11980,-6
14939,1560238,0654,11.0,OVC016,6.0,BR,32.0,0.0,31.0,-0.6,29.0,-1.7,89.0,9.0,150.0,,28.17,,,29.45,AA,,29.41,2012,2012-01-22,2012-01-22T06:54:00.000+01:00,13029,-6
14939,1560246,1054,11.0,SCT019,6.0,HZ,43.0,6.1,39.0,3.9,34.0,1.1,71.0,17.0,180.0,24.0,28.15,,,29.42,AA,,29.4,2012,2012-01-22,2012-01-22T10:54:00.000+01:00,13029,-6
14944,1564791,1454,11.0,OVC006,2.0,BR,28.0,-2.0,27.0,-2.8,25.0,-4.0,89.0,9.0,340.0,,27.97,,,,SP,,29.46,2012,2012-01-22,2012-01-22T14:54:00.000+01:00,11775,-6
14958,1572022,1555,0.0,SCT014 BKN025 OVC032,2.0,-SN,23.0,-5.0,22.0,-5.7,19.0,-7.0,85.0,0.0,0.0,,28.08,,,,AA,,29.54,2012,2012-01-22,2012-01-22T15:55:00.000+01:00,10631,-6
22521,1618623,0353,11.0,BKN041 BKN048,10.0,"",75.0,23.9,68.0,20.0,64.0,17.8,69.0,18.0,70.0,24.0,30.04,,,30.05,AA,,30.06,2012,2012-01-22,2012-01-22T03:53:00.000+01:00,12173,-10
23042,1635473,1120,11.0,BKN033,8.999302776819592,"",55.0,13.0,40.0,4.3,18.0,-8.0,23.0,43.0,260.0,58.0,26.31,,,,SP,,29.63,2012,2012-01-22,2012-01-22T11:20:00.000+01:00,12896,-6
23050,1639349,0356,11.0,FEW028 SCT050 SCT150,10.0,"",36.0,2.2,30.0,-1.2,20.0,-6.7,52.0,15.0,260.0,,24.46,,,29.66,AA,,29.76,2012,2012-01-22,2012-01-22T03:56:00.000+01:00,10140,-7
23063,1644247,0435,0.0,BKN049 OVC060,10.0,"",32.0,0.0,28.0,-1.9,23.0,-5.0,69.0,9.0,300.0,,23.23,,,,AA,,29.6,2012,2012-01-22,2012-01-22T04:35:00.000+01:00,11503,-7
23090,1652902,2153,12.0,FEW120,10.0,"",28.0,-2.2,25.0,-4.0,19.0,-7.2,69.0,0.0,0.0,,24.6,,,30.18,AA,,30.12,2012,2012-01-22,2012-01-22T21:53:00.000+01:00,11711,-7
23160,1678756,1453,11.0,CLR,10.0,"",60.0,15.6,43.0,6.1,20.0,-6.7,21.0,7.0,300.0,,27.43,,,30.05,AA,,30.11,2012,2012-01-22,2012-01-22T14:53:00.000+01:00,15376,-7
23174,1681077,0653,11.0,OVC012,10.0,"",51.0,10.6,47.0,8.1,42.0,5.6,71.0,8.0,50.0,,29.81,1.0,14.0,30.16,AA,,30.16,2012,2012-01-22,2012-01-22T06:53:00.000+01:00,12892,-8
23174,1681090,1653,11.0,FEW035 SCT150 SCT250,10.0,"",57.0,13.9,52.0,11.2,48.0,8.9,72.0,7.0,260.0,,29.79,,,30.14,AA,,30.14,2012,2012-01-22,2012-01-22T16:53:00.000+01:00,12892,-8
23183,1684212,2351,11.0,SCT250,10.0,"",49.0,9.4,40.0,4.3,27.0,-2.8,43.0,7.0,120.0,,28.91,,,30.07,AA,,30.09,2012,2012-01-22,2012-01-22T23:51:00.000+01:00,14107,-7
23903,1748020,2115,0.0,SCT022 SCT028 BKN036,10.0,"",70.0,21.0,66.0,18.6,63.0,17.0,79.0,25.0,170.0,31.0,29.44,,,,AA,,29.65,2012,2012-01-22,2012-01-22T21:15:00.000+01:00,15502,-6
23907,1772559,0450,15.0,M,,"",50.0,10.2,,,,,,,,,,,,,CRN05,,,2012,2012-01-22,2012-01-22T04:50:00.000+01:00,16440,-6
23907,1772572,0555,15.0,M,,"",51.0,10.8,,,,,,,,,,,,,CRN05,,,2012,2012-01-22,2012-01-22T05:55:00.000+01:00,16440,-6
23907,1772673,1420,15.0,M,,"",78.0,25.4,,,,,,,,,,,,,CRN05,,,2012,2012-01-22,2012-01-22T14:20:00.000+01:00,16440,-6
24018,1798292,0731,11.0,OVC015,1.25,-SN BR,28.0,-2.0,28.0,-2.4,27.0,-3.0,96.0,28.0,340.0,43.0,23.55,,,,SP,,29.56,2012,2012-01-22,2012-01-22T07:31:00.000+01:00,11233,-7
24018,1798320,2253,11.0,CLR,10.0,"",28.0,-2.2,21.0,-5.9,7.0,-13.9,41.0,14.0,290.0,,23.77,3.0,8.0,29.92,AA,,29.83,2012,2012-01-22,2012-01-22T22:53:00.000+01:00,11233,-7
24025,1802570,1251,12.0,BKN009 OVC014,0.75,-SN BR,30.0,-1.0,29.0,-1.5,28.0,-2.0,92.0,6.0,300.0,,27.71,,,,SP,,29.51,2012,2012-01-22,2012-01-22T12:51:00.000+01:00,14120,-6
24045,1812080,1855,0.0,CLR,10.0,"",,,,,,,,17.0,220.0,34.0,24.71,,,,AA,,29.81,2012,2012-01-22,2012-01-22T18:55:00.000+01:00,11097,-7
24089,1821000,0151,11.0,SCT007 OVC011,1.75,-SN BR,34.0,1.0,32.0,0.1,30.0,-1.0,85.0,11.0,330.0,,24.15,,,,SP,,29.36,2012,2012-01-22,2012-01-22T01:51:00.000+01:00,11122,-7
24089,1821014,0553,11.0,VV006,0.75,-SN BR,29.0,-1.7,28.0,-2.1,27.0,-2.8,92.0,17.0,10.0,,24.35,,,29.62,AA,0.04,29.6,2012,2012-01-22,2012-01-22T05:53:00.000+01:00,11122,-7
24090,1821867,0252,11.0,OVC055,10.0,"",42.0,5.6,37.0,2.8,31.0,-0.6,65.0,23.0,340.0,29.0,26.05,,,29.26,AA,,29.27,2012,2012-01-22,2012-01-22T02:52:00.000+01:00,14457,-7
24090,1821878,0708,11.0,FEW008 OVC017,2.0,-SN BR,34.0,1.0,34.0,1.1,34.0,1.0,100.0,41.0,330.0,51.0,26.23,,,,SP,,29.46,2012,2012-01-22,2012-01-22T07:08:00.000+01:00,14457,-7
