ORIGIN_AIRPORT_ID,nbs de vols,nbs_compagnies,nbs_aeroports_dest
12888,5,1,1
15041,32,1,1
12003,43,1,2
11002,18,1,1
14986,92,6,9
13851,381,11,22
15412,169,6,12
11150,25,2,2
13367,95,5,6
11537,23,2,1
13244,590,10,53
13232,1510,6,68
11109,165,5,13
10918,20,1,1
11865,31,1,3
12402,108,3,3
13076,16,3,3
11471,8,1,1
15249,93,3,4
14783,123,3,5
10561,63,2,5
14674,25,3,3
11049,42,2,2
11648,36,2,4
10685,56,7,7
13029,53,3,3
13204,2076,12,80
14150,5,1,1
14100,1389,13,48
14252,61,2,4
15607,18,1,1
10926,10,1,2
12397,3,1,1
13342,595,10,31
11695,28,2,1
10728,10,2,1
11973,82,3,3
12523,84,1,7
11884,172,7,11
12016,7,1,1
10792,387,10,19
13433,45,5,2
10874,147,7,11
13873,9,1,2
10423,750,15,38
14489,63,1,5
14520,8,1,2
15991,11,1,2
10739,5,1,2
11057,2401,12,76
13296,176,6,15
10732,26,2,3
13127,8,1,1
13476,90,2,4
14108,78,4,6
13931,264,10,20
12448,152,5,9
11898,33,2,2
11980,10,1,1
12389,18,2,2
15389,16,1,1
10268,5,1,1
11193,562,8,45
11540,360,7,14
14113,29,1,1
15376,345,11,16
11982,81,2,3
12191,1013,8,45
11097,14,1,2
11867,9,1,1
10185,60,2,3
12206,71,3,5
11697,1110,12,51
13303,1356,9,51
12217,140,7,10
11525,21,1,1
10299,306,8,25
14814,110,2,5
10136,54,1,1
12335,9,1,3
12266,3157,10,111
11274,2,1,1
13277,58,2,2
12819,37,1,4
13158,143,4,6
11638,188,5,8
14730,296,9,21
11986,194,9,15
13485,152,7,10
11624,50,5,4
14256,13,1,2
14842,30,2,1
10631,13,1,1
15024,72,5,9
12992,275,8,16
10165,3,1,1
13964,12,1,1
10408,80,3,4
15070,25,3,4
14696,74,5,5
15016,960,13,48
14908,645,10,18
15841,4,1,2
10713,183,6,12
14685,184,4,9
14262,200,8,11
11921,98,4,6
12441,61,4,7
10581,8,1,2
12758,223,7,12
13184,27,2,2
