ORIGIN_AIRPORT_ID,nbs de vols,nbs_compagnies,nbs_aeroports_dest
12892,408,13,61
12173,114,7,16
11433,234,12,80
10397,775,13,134
14679,157,11,31
14262,27,4,8
10930,2,1,1
13303,144,6,39
10800,54,4,10
14492,86,11,26
11721,8,3,4
11697,130,8,31
12264,153,10,50
11423,23,8,9
11267,15,7,10
11612,10,3,4
11415,1,1,1
13230,14,5,6
12945,13,5,5
11617,3,1,1
14794,4,1,1
12389,3,1,1
10685,5,4,4
11865,3,1,2
14098,4,4,2
10631,2,1,1
11973,8,3,3
13367,10,3,4
15024,6,3,4
10849,7,2,3
13029,10,2,3
14543,3,1,2
13486,4,1,2
12094,2,1,1
10268,1,1,1
15389,2,1,1
11537,1,1,1
15991,1,1,1
11193,70,6,27
10136,10,1,1
10721,216,11,44
10299,44,5,14
10693,84,10,31
13795,4,1,1
13204,222,10,52
14683,69,11,18
10140,57,8,20
11525,3,1,1
12402,17,3,3
12889,278,12,59
10868,18,3,4
12523,14,1,7
11884,18,7,10
11823,7,3,3
12992,33,8,13
13422,16,3,3
15356,3,1,2
11921,11,2,4
12217,25,6,10
10551,1,1,1
15096,14,7,6
14698,8,2,3
14814,12,2,4
12888,1,1,1
13061,5,2,2
12323,11,2,2
12343,2,1,1
12012,2,2,1
14709,1,1,1
12016,3,1,1
13424,1,1,1
11076,1,1,1
11042,96,9,35
10792,41,9,14
14831,67,10,19
14100,155,13,39
11540,46,7,12
12266,365,8,92
10372,12,2,5
12951,10,2,3
15624,14,3,3
12511,3,1,1
13433,4,3,2
12954,34,3,10
11122,6,1,2
10279,14,3,4
14321,22,8,8
11637,14,4,4
13076,2,2,2
15070,5,3,3
10408,10,3,4
10747,7,3,2
10781,19,2,4
11413,4,3,3
13256,11,3,2
12003,6,1,2
10620,7,3,3
15041,1,1,1
10434,4,2,2
12156,2,1,1
11067,2,1,1
12177,1,1,1
15607,2,1,1
11641,6,2,1
14113,4,1,1
10731,2,1,1
15027,2,2,2
13459,2,1,1
12335,1,1,1
10666,1,1,1
14252,4,1,2
16218,4,2,2
13121,1,1,1
10529,43,10,18
11057,292,10,67
13495,82,11,26
12953,211,12,37
12478,186,9,47
13891,38,6,12
15376,43,8,12
12339,53,10,19
13871,42,10,15
11982,11,2,2
15919,23,3,6
12441,7,4,4
12891,7,1,1
13277,7,2,2
10926,3,1,2
13577,9,3,2
12819,2,1,1
11252,3,2,2
10141,1,1,1
13930,582,12,117
13198,88,11,28
13158,24,4,7
15016,113,10,37
14771,330,12,58
13342,76,11,22
10874,17,5,7
13290,5,1,2
10599,26,6,17
11278,158,14,33
12758,19,3,4
10361,1,1,1
14696,14,3,3
11630,7,2,3
13244,62,9,29
15249,6,3,2
12915,3,1,1
14307,29,7,11
12191,93,5,35
14908,107,9,15
11638,30,4,7
11977,9,3,4
14635,52,8,19
14783,11,2,3
13296,16,5,9
11996,21,5,9
14027,38,7,15
11695,1,1,1
12320,2,1,2
11775,13,6,5
10581,3,1,2
11097,4,1,2
10135,5,2,4
10990,4,2,2
10146,2,1,1
11002,2,1,1
11587,1,1,1
13024,2,1,1
11308,3,1,1
10732,2,2,2
13127,2,1,1
13873,2,1,1
11503,1,1,1
10779,1,1,1
14588,1,1,1
10994,30,6,10
15370,29,6,13
11292,464,13,114
13232,168,5,48
14524,36,9,13
13796,75,9,21
14057,95,11,30
10423,99,12,32
11618,217,11,62
11259,69,3,18
11066,52,11,20
11986,28,8,10
14122,58,12,18
14689,17,3,3
14108,8,3,4
13184,3,2,2
10257,19,6,10
13830,39,7,12
11203,5,3,2
12982,28,5,4
13970,3,1,2
14457,10,3,6
14487,3,1,1
14674,5,2,2
11140,13,3,3
10208,5,1,1
14730,29,7,13
14986,9,4,3
13377,7,2,3
11867,1,1,1
15411,6,1,1
12884,7,2,3
15841,1,1,1
10561,3,1,3
11111,1,1,1
13476,10,2,3
15323,1,1,1
13360,1,1,1
14893,73,9,19
13931,33,9,13
10185,6,1,1
13485,23,5,7
12896,14,3,4
12451,50,11,17
14843,48,5,15
15304,131,8,42
14869,235,9,73
13502,2,2,2
12206,6,2,3
11953,4,2,2
11778,8,2,2
13851,43,10,17
11109,24,4,8
14828,6,1,1
10155,4,1,1
15380,9,3,2
13264,3,1,3
10469,4,3,3
11146,9,2,3
10170,1,1,1
11315,1,1,1
12278,24,7,7
11624,5,4,3
11049,3,2,2
11577,3,1,1
14905,4,1,1
10643,5,3,4
12007,2,1,1
11041,5,1,1
12363,1,1,1
14960,5,1,1
14006,1,1,1
14256,1,1,1
11298,547,11,125
13487,269,11,81
10785,11,3,5
14107,362,11,69
14254,5,1,2
14574,3,1,2
10821,217,10,54
14570,29,6,11
12448,21,5,7
12197,14,3,6
10157,8,1,3
14747,202,11,44
15412,18,4,8
14685,16,4,5
14489,5,1,3
14576,21,7,8
12280,9,1,2
11898,7,2,2
11995,26,4,8
11980,1,1,1
14193,17,5,5
10713,21,5,9
11603,13,1,3
11648,7,2,3
14952,1,1,1
11150,4,2,2
10627,4,3,2
11481,12,3,5
10728,1,1,1
14842,2,1,1
14711,1,1,1
10918,2,1,1
10431,10,2,3
11337,7,2,2
11003,9,3,6
10980,6,1,1
12391,11,1,6
13344,2,1,1
