Column,Missing_values,Pct_missing_values
WBAN,0,0.0
Time,0,0.0
StationType,0,0.0
SkyCondition,0,0.0
SkyConditionFlag,0,0.0
Visibility,0,0.0
VisibilityFlag,0,0.0
WeatherType,0,0.0
WeatherTypeFlag,0,0.0
DryBulbFarenheit,0,0.0
DryBulbFarenheitFlag,0,0.0
DryBulbCelsius,0,0.0
DryBulbCelsiusFlag,0,0.0
WetBulbFarenheit,0,0.0
WetBulbFarenheitFlag,0,0.0
WetBulbCelsius,0,0.0
WetBulbCelsiusFlag,0,0.0
DewPointFarenheit,0,0.0
DewPointFarenheitFlag,0,0.0
DewPointCelsius,0,0.0
DewPointCelsiusFlag,0,0.0
RelativeHumidity,0,0.0
RelativeHumidityFlag,0,0.0
WindSpeed,0,0.0
WindSpeedFlag,0,0.0
WindDirection,0,0.0
WindDirectionFlag,0,0.0
ValueForWindCharacter,0,0.0
ValueForWindCharacterFlag,0,0.0
StationPressure,0,0.0
StationPressureFlag,0,0.0
PressureTendency,0,0.0
PressureTendencyFlag,0,0.0
PressureChange,0,0.0
PressureChangeFlag,0,0.0
SeaLevelPressure,0,0.0
SeaLevelPressureFlag,0,0.0
RecordType,0,0.0
RecordTypeFlag,0,0.0
HourlyPrecip,0,0.0
HourlyPrecipFlag,0,0.0
Altimeter,0,0.0
AltimeterFlag,0,0.0
Year,0,0.0
Date,0,0.0
